Transaction ID,Date,Product Category,Product Name,Units Sold,Unit Price,Region,Payment Method,Customer ID,Age
10001,1/1/2024,Electronics,iPhone 14 Pro,2,$999.99 ,North America,Credit Card,C241288,28
10002,1/2/2024,Home Appliances,Dyson V11 Vacuum,1,$499.99 ,Europe,PayPal,C111565,21
10003,1/3/2024,Clothing,Levi's 501 Jeans,3,$69.99 ,Asia,Debit Card,C266599,20
10004,1/4/2024,Books,The Da Vinci Code,4,$15.99 ,North America,Credit Card,C988172,66
10005,1/5/2024,Beauty Products,Neutrogena Skincare Set,1,$89.99 ,Europe,PayPal,C189076,53
10006,1/6/2024,Sports,Wilson Evolution Basketball,5,$29.99 ,Asia,Credit Card,C657758,28
10007,1/7/2024,Electronics,MacBook Pro 16-inch,1,"$2,499.99 ",North America,Credit Card,C151197,49
10008,1/8/2024,Home Appliances,Blueair Classic 480i,2,$599.99 ,Europe,PayPal,C176086,32
10009,1/9/2024,Clothing,Nike Air Force 1,6,$89.99 ,Asia,Debit Card,C159642,69
10010,1/10/2024,Books,Dune by Frank Herbert,2,$25.99 ,North America,Credit Card,C283361,60
10011,1/11/2024,Beauty Products,Chanel No. 5 Perfume,1,$129.99 ,Europe,PayPal,C240286,36
10012,1/12/2024,Sports,Babolat Pure Drive Tennis Racket,3,$199.99 ,Asia,Credit Card,C191708,29
10013,1/13/2024,Electronics,Samsung Galaxy Tab S8,2,$749.99 ,North America,Credit Card,C225330,67
10014,1/14/2024,Home Appliances,Keurig K-Elite Coffee Maker,1,$189.99 ,Europe,PayPal,C312861,25
10015,1/15/2024,Clothing,North Face Down Jacket,2,$249.99 ,Asia,Debit Card,C555402,67
10016,1/16/2024,Books,"Salt, Fat, Acid, Heat by Samin Nosrat",3,$35.99 ,North America,Credit Card,C362288,24
10017,1/17/2024,Beauty Products,Dyson Supersonic Hair Dryer,1,$399.99 ,Europe,PayPal,C300786,65
10018,1/18/2024,Sports,Manduka PRO Yoga Mat,4,$119.99 ,Asia,Credit Card,C330667,42
10019,1/19/2024,Electronics,Garmin Forerunner 945,2,$499.99 ,North America,Credit Card,C218149,46
10020,1/20/2024,Home Appliances,Ninja Professional Blender,1,$99.99 ,Europe,PayPal,C196845,24
10021,1/21/2024,Clothing,Zara Summer Dress,3,$59.99 ,Asia,Debit Card,C220180,23
10022,1/22/2024,Books,Gone Girl by Gillian Flynn,2,$22.99 ,North America,Credit Card,C125696,27
10023,1/23/2024,Beauty Products,Olay Regenerist Face Cream,1,$49.99 ,Europe,PayPal,C322947,52
10024,1/24/2024,Sports,Adidas FIFA World Cup Football,3,$29.99 ,Asia,Credit Card,C313348,44
10025,1/25/2024,Electronics,Bose QuietComfort 35 Headphones,1,$299.99 ,North America,Credit Card,C204553,42
10026,1/26/2024,Home Appliances,Panasonic NN-SN966S Microwave,1,$179.99 ,Europe,PayPal,C285161,51
10027,1/27/2024,Clothing,Adidas Ultraboost Shoes,2,$179.99 ,Asia,Debit Card,C289625,25
10028,1/28/2024,Books,Pride and Prejudice by Jane Austen,3,$12.99 ,North America,Credit Card,C192344,50
10029,1/29/2024,Beauty Products,MAC Ruby Woo Lipstick,1,$29.99 ,Europe,PayPal,C447138,65
10030,1/30/2024,Sports,Nike Air Zoom Pegasus 37,2,$129.99 ,Asia,Credit Card,C251229,29
10031,1/31/2024,Electronics,Sony WH-1000XM4 Headphones,2,$349.99 ,North America,Credit Card,C159164,66
10032,2/1/2024,Home Appliances,Instant Pot Duo,3,$89.99 ,Europe,PayPal,C501658,23
10033,2/2/2024,Clothing,Under Armour HeatGear T-Shirt,5,$29.99 ,Asia,Debit Card,C176727,32
10034,2/3/2024,Books,1984 by George Orwell,4,$19.99 ,North America,Credit Card,C232624,51
10035,2/4/2024,Beauty Products,L'Oreal Revitalift Serum,2,$39.99 ,Europe,PayPal,C164092,66
10036,2/5/2024,Sports,Peloton Bike,1,"$1,895.00 ",Asia,Credit Card,C276887,68
10037,2/6/2024,Electronics,Apple Watch Series 8,3,$399.99 ,North America,Credit Card,C241288,43
10038,2/7/2024,Home Appliances,Roomba i7+,2,$799.99 ,Europe,PayPal,C111565,59
10039,2/8/2024,Clothing,Columbia Fleece Jacket,4,$59.99 ,Asia,Debit Card,C266599,54
10040,2/9/2024,Books,Harry Potter and the Sorcerer's Stone,3,$24.99 ,North America,Credit Card,C988172,24
10041,2/10/2024,Beauty Products,Estee Lauder Advanced Night Repair,1,$105.00 ,Europe,PayPal,C189076,49
10042,2/11/2024,Sports,Fitbit Charge 5,2,$129.99 ,Asia,Credit Card,C657758,67
10043,2/12/2024,Electronics,GoPro HERO10 Black,3,$399.99 ,North America,Credit Card,C151197,48
10044,2/13/2024,Home Appliances,Nespresso VertuoPlus,1,$199.99 ,Europe,PayPal,C176086,40
10045,2/14/2024,Clothing,Patagonia Better Sweater,2,$139.99 ,Asia,Debit Card,C159642,41
10046,2/15/2024,Books,Becoming by Michelle Obama,4,$32.50 ,North America,Credit Card,C283361,46
10047,2/16/2024,Beauty Products,Clinique Moisture Surge,1,$52.00 ,Europe,PayPal,C240286,19
10048,2/17/2024,Sports,Yeti Rambler Tumbler,6,$39.99 ,Asia,Credit Card,C191708,43
10049,2/18/2024,Electronics,Kindle Paperwhite,2,$129.99 ,North America,Credit Card,C225330,18
10050,2/19/2024,Home Appliances,Breville Smart Oven,1,$299.99 ,Europe,PayPal,C312861,22
10051,2/20/2024,Clothing,Ray-Ban Aviator Sunglasses,3,$154.99 ,Asia,Debit Card,C555402,61
